iter	Logloss
0	0.6831335798
1	0.6747856216
2	0.6671462801
3	0.6595069034
4	0.6524890851
5	0.6439492967
6	0.6371083379
7	0.6295307412
8	0.6217280607
9	0.6147493778
10	0.6088598191
11	0.6023018398
12	0.5955687695
13	0.5893831119
14	0.582723089
15	0.5765389996
16	0.570470721
17	0.5645488795
18	0.5581024416
19	0.5525234239
20	0.5466752567
21	0.5415796366
22	0.5356307084
23	0.5298492449
24	0.52434564
25	0.5185888522
26	0.5141364867
27	0.5098847629
28	0.504115635
29	0.4988955493
30	0.4942551774
31	0.4898186182
32	0.4856560781
33	0.4811013177
34	0.4767603905
35	0.4728566393
36	0.4691641959
37	0.4656093372
38	0.4622615881
39	0.4590272423
40	0.4548542863
41	0.4508223454
42	0.4477659025
43	0.4449868825
44	0.4421894824
45	0.439223025
46	0.435650725
47	0.4327537093
48	0.4299618082
49	0.4266561801
50	0.4237863606
51	0.4207905597
52	0.418821098
53	0.4166364649
54	0.4140567193
55	0.4118825872
56	0.4086503153
57	0.4057592247
58	0.4028256849
59	0.4002069682
60	0.3983136499
61	0.3954017233
62	0.3923545005
63	0.3900574713
64	0.3879043415
65	0.3853817118
66	0.3829030921
67	0.3806702951
68	0.378394415
69	0.3757719864
70	0.3738818966
71	0.3720104006
72	0.3700792382
73	0.3685371287
74	0.3661228284
75	0.3640225504
76	0.3618949958
77	0.3600349135
78	0.3584001104
79	0.3562533868
80	0.3544093095
81	0.3521597432
82	0.3506932142
83	0.3492409815
84	0.3479003257
85	0.3462888306
86	0.344968377
87	0.3431837478
88	0.3413318324
89	0.3392001582
90	0.3376295881
91	0.3368279476
92	0.3351604706
93	0.333280029
94	0.3317826923
95	0.3302327756
96	0.329054155
97	0.3274784678
98	0.3257060692
99	0.3247908476
100	0.3234026809
101	0.3219212299
102	0.3204356383
103	0.3191568062
104	0.3182549149
105	0.3165132099
106	0.3149254744
107	0.3137386866
108	0.3129246624
109	0.3120806459
110	0.3107848129
111	0.3095374087
112	0.3084641068
113	0.3074107765
114	0.3065788765
115	0.3052604667
116	0.3043581789
117	0.3032346044
118	0.3023775222
119	0.3011284651
120	0.3000094355
121	0.299048053
122	0.2978200402
123	0.2968953152
124	0.295904708
125	0.2948292986
126	0.2939888839
127	0.2927535837
128	0.2918810415
129	0.2910343604
130	0.2899353141
131	0.2887564558
132	0.2878284798
133	0.2868712985
134	0.2857738094
135	0.2846212968
136	0.2840044047
137	0.283218908
138	0.2818298646
139	0.2808702697
140	0.2799552557
141	0.2792329244
142	0.2784721669
143	0.2778505181
144	0.2772583635
145	0.2762179248
146	0.275354001
147	0.2745761434
148	0.2741286078
149	0.2733244895
150	0.2725764391
151	0.2721050119
152	0.2715226485
153	0.2708454581
154	0.2700601439
155	0.269481679
156	0.2689657558
157	0.2682887181
158	0.2675890473
159	0.267130072
160	0.2664329687
161	0.2657741887
162	0.2648253056
163	0.2637939069
164	0.2633309217
165	0.2627506167
166	0.26210613
167	0.2615896952
168	0.2608640428
169	0.2604363626
170	0.2596000481
171	0.2589293802
172	0.2585836128
173	0.2580358418
174	0.2573979513
175	0.2569856557
176	0.2563960809
177	0.2556840652
178	0.2550044409
179	0.2543566252
180	0.2536475643
181	0.2529274777
182	0.2524747248
183	0.2518628449
184	0.2512411795
185	0.2507578999
186	0.2502293648
187	0.2495036054
188	0.248954659
189	0.2483473166
190	0.2476650436
191	0.2468984052
192	0.2463100967
193	0.2456638193
194	0.2451517765
195	0.2446214783
196	0.2439663824
197	0.2434348387
198	0.2429754573
199	0.2424932754
200	0.2419798808
201	0.2415727766
202	0.2411582461
203	0.2406529247
204	0.2400900845
205	0.2396885203
206	0.2393923855
207	0.2388496483
208	0.2384048394
209	0.2380108739
210	0.237620776
211	0.2372059664
212	0.2363690865
213	0.2360068066
214	0.2356160979
215	0.2351755273
216	0.234692043
217	0.2342900553
218	0.2336315365
219	0.2329742942
220	0.232598301
221	0.2321291359
222	0.2315091176
223	0.2309800596
224	0.2302482596
225	0.2300236523
226	0.2296253524
227	0.2290606584
228	0.2285218981
229	0.2279043753
230	0.2273652782
231	0.2268195292
232	0.2265674283
233	0.2261221849
